Sights ,Address
The Alamo ,"300 Alamo Plaza, San Antonio, TX 78205"
San Antonio River Walk ,"849 E Commerce St, San Antonio, TX 78205"
Zilker Park,"2207 Lou Neff Rd, Austin, TX 78746"
McKinney Falls State Park,"5808 McKinney Falls Pkwy, Austin, TX 78744"
Sea World San Antonio,"10500 Sea World Dr, San Antonio, TX 78251"
The Dallas Arboretum and Botanical Garden ,"8525 Garland Rd, Dallas, TX 75218"
Fort Worth Zoo,"1989 Colonial Pkwy, Fort Worth, TX 76110"
Holocaust Museum Houston,"5401 Caroline St, Houston, TX 77004"
Moody Gardens,"1 Hope Blvd, Galveston, TX 77554"
Kemah Boardwalk,"215 Kipp Ave, Kemah, TX 77565"
